"scientificNameID","acceptedNameUsageID","scientificName","acceptedNameUsage","class","order","family","genus","taxonomicStatus","AphiaID"
"urn:lsid:marinespecies.org:taxname:281295","urn:lsid:marinespecies.org:taxname:281295","Lepidonectes corallicola","Lepidonectes corallicola","Actinopteri","Blenniiformes","Tripterygiidae","Lepidonectes","accepted",281295
"urn:lsid:marinespecies.org:taxname:281296","urn:lsid:marinespecies.org:taxname:281296","Lepidoperca aurantia","Lepidoperca aurantia","Actinopteri","Perciformes","Serranidae","Lepidoperca","accepted",281296
"urn:lsid:marinespecies.org:taxname:281297","urn:lsid:marinespecies.org:taxname:281297","Lepidoperca brochata","Lepidoperca brochata","Actinopteri","Perciformes","Serranidae","Lepidoperca","accepted",281297
"urn:lsid:marinespecies.org:taxname:281298","urn:lsid:marinespecies.org:taxname:281298","Lepidoperca coatsii","Lepidoperca coatsii","Actinopteri","Perciformes","Serranidae","Lepidoperca","accepted",281298
"urn:lsid:marinespecies.org:taxname:281299","urn:lsid:marinespecies.org:taxname:281299","Lepidoperca filamenta","Lepidoperca filamenta","Actinopteri","Perciformes","Serranidae","Lepidoperca","accepted",281299
"urn:lsid:marinespecies.org:taxname:281300","urn:lsid:marinespecies.org:taxname:281300","Lepidoperca inornata","Lepidoperca inornata","Actinopteri","Perciformes","Serranidae","Lepidoperca","accepted",281300
"urn:lsid:marinespecies.org:taxname:281301","urn:lsid:marinespecies.org:taxname:281301","Lepidoperca magna","Lepidoperca magna","Actinopteri","Perciformes","Serranidae","Lepidoperca","accepted",281301
"urn:lsid:marinespecies.org:taxname:281302","urn:lsid:marinespecies.org:taxname:281302","Lepidoperca occidentalis","Lepidoperca occidentalis","Actinopteri","Perciformes","Serranidae","Lepidoperca","accepted",281302
"urn:lsid:marinespecies.org:taxname:281303","urn:lsid:marinespecies.org:taxname:281303","Lepidoperca pulchella","Lepidoperca pulchella","Actinopteri","Perciformes","Serranidae","Lepidoperca","accepted",281303
"urn:lsid:marinespecies.org:taxname:281304","urn:lsid:marinespecies.org:taxname:281304","Lepidoperca tasmanica","Lepidoperca tasmanica","Actinopteri","Perciformes","Serranidae","Lepidoperca","accepted",281304
